"country","gdp_per_capita","life_expectancy","infant_mortality","literacy_rate","internet_users","electricity_access","urban_population","health_expenditure","education_expenditure","unemployment_rate","gini_coefficient","region","income_group","year"
"Central African Republic",492.263142830507,40.279,96.3,42.439998626709,7.509200096,15.7,42.8547782897949,9.15097523,1.8725169173301,6.701,43,"Sub-Saharan Africa","Low income",2021
"Chad",946.358500208374,53.136,61.3,30.6299991607666,9.653699875,11.3,25.2312246423075,3.9722333,2.01648998260498,1.53,37.5,"Sub-Saharan Africa","Low income",2021
"Channel Islands",66915.3963925722,80.3,NA,NA,NA,100,32.8148141071941,NA,NA,6.643,NA,"Europe & Central Asia","High income",2021
"Chile",16206.8325493421,78.876,5.8,96.4000015258789,90.23280334,100,88.4660511664452,9.72450161,5.00225019454956,9.281,47,"Latin America & Caribbean","High income",2021
"China",12887.4357242941,78.117,5.1,96.7399978637695,73.05323517,100,64.721076965332,5.25590324,NA,4.55,35.7,"East Asia & Pacific","Upper middle income",2021
"Colombia",6222.62164397614,72.698,11.5,95.6606500324449,73.02837449,100,77.8339570326128,9.14150524,5.26166009902954,13.898,55.1,"Latin America & Caribbean","Upper middle income",2021
"Comoros",1554.97289190153,65.201,38,75.6201980162165,30.68120003,87.9,32.4124444313246,6.46315002,2.27485390045927,4.394,34.2,"Sub-Saharan Africa","Lower middle income",2021
"Congo, Dem. Rep.",595.743074403567,60.044,57.6,65.6828744335957,16.1595993,20.8,43.6290681792218,3.86727977,2.66048474102788,5.289,44.7,"Sub-Saharan Africa","Low income",2021
"Congo, Rep.",2516.16255145432,64.192,29.4,NA,30.02739906,49.7,63.6179125824196,3.46133351,3.31281536274069,21.998,NA,"Sub-Saharan Africa","Lower middle income",2021
"Costa Rica",12838.1185358931,78.05,8.3,NA,82.74901607,100,77.9868940200009,7.61130476,6.24842977523804,15.139,48.7,"Latin America & Caribbean","High income",2021
"Cote d'Ivoire",2455.98127641148,60.29,48.7,50,35.95069885,71.1,52.3183461956059,3.76207662,3.32717990875244,2.623,35.3,"Sub-Saharan Africa","Lower middle income",2021
"Croatia",17788.7865816658,76.4243902439025,3.9,NA,81.25396608,100,56.7683502560171,8.08265686,4.0916600227356,7.483,28.9,"Europe & Central Asia","High income",2021
"Cuba",9605.27914559614,73.201,5.9,97.6500015258789,67.64354869,100,77.0987701416016,13.78746605,9.3858620562531,2.11,NA,"Latin America & Caribbean","Upper middle income",2021
"Curacao",17795.5826616182,75.686,NA,NA,68.1272162511339,100,91.391865832772,NA,6.18160236726664,NA,NA,"Latin America & Caribbean","High income",2021
"Cyprus",32937.83984375,80.573,3,NA,90.75951564,100,66.6718365394971,8.87445068,5.08247995376587,7.513,31.3,"Europe & Central Asia","High income",2021
"Czechia",27696.4619527544,77.2219512195122,2.3,NA,82.67062427,100,72.6810594374316,9.15420723,4.65163993835449,2.803,26.2,"Europe & Central Asia","High income",2021
"Denmark",69340.7334922138,81.4048780487805,3.3,NA,98.8658506,100,88.2616449318149,10.65575886,6.95915985107422,5.065,28.3,"Europe & Central Asia","High income",2021
"Djibouti",3025.91126413549,63.83,47.3,NA,61.41120148,65.4,72.2882954556515,2.87128091,3.75143003463745,27.628,41.6,"Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",2021
"Dominica",8376.40414141113,69.832,32.1,NA,78.07949829,100,72.2613620044042,6.31142521,5.71689183034862,NA,NA,"Latin America & Caribbean","Upper middle income",2021
"Dominican Republic",8527.0754858205,71.757,29.8,93.7309714425844,85.24298638,98.1,72.9243347395035,5.08839989,3.58043271614957,7.702,38.5,"Latin America & Caribbean","Upper middle income",2021
"Ecuador",6061.32350181711,72.746,11.3,94.4800033569336,69.1147995,100,63.0871268249117,8.37526226,3.65649008750915,4.504,45.8,"Latin America & Caribbean","Upper middle income",2021
