"country","gdp_per_capita","life_expectancy","infant_mortality","literacy_rate","internet_users","electricity_access","urban_population","health_expenditure","education_expenditure","unemployment_rate","gini_coefficient","region","income_group","year"
"Russian Federation",12425.029296875,69.900243902439,4.4,99.9300003051758,88.21384578,100,74.7516840220252,7.0299139,3.99480697864774,4.749,35.1,"Europe & Central Asia","High income",2021
"Rwanda",829.544845263697,66.85,30.9,80.0500030517578,24.4416008,48.7,26.1049092762833,6.23147202,5.58984994888306,15.775,43.7,"Sub-Saharan Africa","Low income",2021
"Samoa",4021.55934894283,71.096,13.3,97.9899978637695,NA,98.3,17.5672426452007,7.19651461,5.2162847162306,6.664,NA,"East Asia & Pacific","Upper middle income",2021
"San Marino",54176.4798021628,83.539,1.4,NA,81.66999817,100,97.1035668453272,7.51272249,3.10892009735107,NA,NA,"Europe & Central Asia","High income",2021
"Sao Tome and Principe",2362.58827248102,68.026,10.3,87.4400024414062,54.94950104,78.5,68.1738967895508,7.85889721,5.53985041124283,9.563,40.7,"Sub-Saharan Africa","Lower middle income",2021
"Saudi Arabia",31920.7653655643,77.089,5.2,97.5899963378906,100,100,83.9716349986538,5.93033648,NA,6.621,NA,"Middle East, North Africa, Afghanistan & Pakistan","High income",2021
"Senegal",1598.10676952274,66.868,32.5,46.8300018310547,55.04040146,68,52.2260292191155,4.44256258,5.61201000213623,3.436,36.2,"Sub-Saharan Africa","Lower middle income",2021
"Serbia",9680.52798074468,72.780487804878,4.6,99.4800033569336,81.16588116,100,61.363899230957,9.23441029,3.14615988731384,9.843,33.1,"Europe & Central Asia","Upper middle income",2021
"Seychelles",14982.9111487767,73.3975609756097,13.5,NA,81.99530029,100,44.6026796065539,5.2088151,4.86547351368626,NA,32.1,"Sub-Saharan Africa","High income",2021
"Sierra Leone",885.396401885395,60.26,59.9,43.5800018310547,18.65390015,27.5,43.7345385973699,5.07244635,5.59322023391724,3.551,35.7,"Sub-Saharan Africa","Low income",2021
"Singapore",80056.1288247844,83.0926829268293,2,97.6500015258789,96.92468156,100,100,5.14599705,2.82732009887695,4.64,NA,"East Asia & Pacific","High income",2021
"Sint Maarten (Dutch part)",32548.4366854902,74.505,NA,NA,NA,100,100,NA,NA,NA,NA,"Latin America & Caribbean","High income",2021
"Slovak Republic",22123.3342114545,74.6146341463415,5,NA,88.92560523,100,53.1901479870605,7.62857914,4.71766996383667,6.894,24.1,"Europe & Central Asia","High income",2021
"Slovenia",29192.8401933019,80.6756097560976,1.9,NA,89.00399524,100,55.3046289429588,9.52724361,5.39167022705078,4.744,24.3,"Europe & Central Asia","High income",2021
"Solomon Islands",2043.44413170658,68.89,17.8,NA,26.03790092,76.3,28.6889396820578,4.94795895,8.33232704380039,0.879,NA,"East Asia & Pacific","Lower middle income",2021
"Somalia, Fed. Rep.",549.056994756254,55.703,70.9,63.6579378279423,23.87479973,49.3,52.9060649733324,2.73509169,6.75308344309e-06,19.662,NA,"Sub-Saharan Africa","Low income",2021
"South Africa",6828.75624590017,62.01,24.3,90,74.96859741,89.3,63.4503925883909,8.6645031,6.5551700592041,34.007,NA,"Sub-Saharan Africa","Upper middle income",2021
"Spain",30799.4775937775,83.1780487804878,2.6,99.6999969482422,93.89752157,100,79.7846242983598,10.34419918,4.81316995620728,14.914,33.9,"Europe & Central Asia","High income",2021
"Sri Lanka",3996.96240014909,76.278,5.8,92.4300003051758,44.45308724,100,19.8266275195269,5.19427729,1.50650579603928,4.981,37.7,"South Asia","Lower middle income",2021
"St. Kitts and Nevis",18361.1449697886,69.271,15.2,NA,74.37159729,100,31.5393525093972,6.16912127,2.78379011154175,NA,NA,"Latin America & Caribbean","High income",2021
"St. Lucia",10459.1321248092,69.119,16.3,NA,63.06330109,100,27.4443458949551,6.26193285,5.86197746335882,20.514,NA,"Latin America & Caribbean","Upper middle income",2021
"St. Martin (French part)",21668.3776525323,80.206,NA,NA,NA,100,100,NA,NA,NA,NA,"Latin America & Caribbean","High income",2021
"St. Vincent and the Grenadines",8641.27904024443,69.132,11.7,NA,68.83339691,100,47.4554100739049,5.26607132,5.46376310406546,20.356,NA,"Latin America & Caribbean","Upper middle income",2021
"Sudan",712.122009277344,64.46,41,NA,18.60000038,61.8,34.6421563427994,2.9669323,NA,11.087,NA,"Sub-Saharan Africa","Low income",2021
"Suriname",5029.84838543953,68.943,16.2,NA,62.03350067,98.8,65.9853973388672,5.01704168,4.13154972947739,8.706,NA,"Latin America & Caribbean","Upper middle income",2021
"Sweden",60647.5416365347,83.0560975609756,2.1,NA,94.6703163,100,88.1741651958315,11.23013592,7.60224008560181,8.803,29.8,"Europe & Central Asia","High income",2021
"Switzerland",93664.7736696111,83.7512195121951,3.5,NA,95.56937154,100,84.2006477608879,11.95855618,5.02535009384155,5.013,33.8,"Europe & Central Asia","High income",2021
"Syrian Arab Republic",663.614245706815,72.418,19.3,94.4199981689453,33.77000046,88.8,73.0125007629395,3.50403309,NA,14.887,NA,"Middle East, North Africa, Afghanistan & Pakistan","Low income",2021
"Tajikistan",896.748053372182,69.594,24.7,NA,36.70560074,99.6,26.1991525151375,8.37504482,4.38253082077599,7.687,32.4,"Europe & Central Asia","Lower middle income",2021
"Tanzania",1159.85656738281,66.131,32.1,82.2361019196766,22.87540054,42.7,34.3500111758619,3.46963334,3.11515335288784,1.876,40.5,"Sub-Saharan Africa","Lower middle income",2021
"Thailand",7057.20754802279,77.606,8.4,91.2699966430664,85.26956666,100,58.5087776184082,5.15399981,2.98212428478268,1.215,34.9,"East Asia & Pacific","Upper middle income",2021
"Timor-Leste",2684.92676774277,66.199,37.7,65.7799987792969,35.04199982,100,28.7927371734472,4.9192977,2.97389404101318,2.344,NA,"East Asia & Pacific","Lower middle income",2021
"Togo",962.075187515872,61.337,38,66.5400009155273,30.33839989,55.7,42.3105904515122,5.6165967,4.22702442483079,2.344,37.9,"Sub-Saharan Africa","Low income",2021
"Tonga",4922.80171378368,72.13,8.5,91.0500030517578,57.549,100,21.258003897665,7.06254101,5.162544372426,2.111,27.1,"East Asia & Pacific","Upper middle income",2021
"Trinidad and Tobago",17712.5674104655,71.111,18.4,NA,84.36576986,100,53.9421278853848,7.20521307,3.04397988319397,4.446,NA,"Latin America & Caribbean","High income",2021
"Tunisia",3906.93926319391,72.893,12.5,83.6800003051758,68.31552226,99.9,69.3997523770568,7.34183979,6.67984656240779,16.632,33.7,"Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",2021
"Turkiye",9981.76398411336,75.722,8.8,97.2600021362305,81.40843745,100,89.1762048153239,4.56065559,3.53787994384766,11.969,44.4,"Europe & Central Asia","Upper middle income",2021
"Turkmenistan",5723.30227157906,69.353,32.7,NA,17.99029922,100,47.0581410301711,5.49196625,3.8489100933075,4.458,NA,"Europe & Central Asia","Upper middle income",2021
"Turks and Caicos Islands",27329.2885087196,77.234,3.3,NA,NA,100,93.4467025398547,NA,3.27759003639221,NA,NA,"Latin America & Caribbean","High income",2021
"Tuvalu",5905.08198095343,65.824,18.2,NA,35.20000076,99.7,62.6098296425994,18.57411194,15.5155119679441,NA,NA,"East Asia & Pacific","Upper middle income",2021
"Uganda",882.791717542504,66.45,36.4,79.0476540680567,10,45.2,29.2362957789022,5.47374916,2.63593612308533,3.416,42.7,"Sub-Saharan Africa","Low income",2021
"Ukraine",4775.94580078125,71.631,8,NA,79.21829353,100,69.4027032653896,8.2027483,5.14010000228882,9.834,25.6,"Europe & Central Asia","Upper middle income",2021
"United Arab Emirates",44118.5047192771,79.083,4.4,98.129997253418,100,100,85.3571908511355,5.30494308,3.89404010772705,3.105,26.4,"Middle East, North Africa, Afghanistan & Pakistan","High income",2021
"United Kingdom",47691.3768799404,80.6473170731707,3.9,NA,96.19650269,100,82.9886431523641,12.08347321,5.90681982040405,4.864,32.4,"Europe & Central Asia","High income",2021
"United States",70205.050916026,76.3292682926829,5.5,NA,91.2684021,100,80.0074765140272,17.35207748,5.42038011550903,5.349,39.7,"North America","High income",2021
"Uruguay",17881.818721099,75.434,6.1,98.9596198051761,87.64440155,100,95.4497146606445,8.91955471,4.46211004257202,9.328,40.8,"Latin America & Caribbean","High income",2021
"Uzbekistan",2258.51964119278,71.681,13.9,100,76.59043014,99.9,50.9269905090332,6.92742586,4.13580989837646,5.364,32.9,"Europe & Central Asia","Lower middle income",2021
"Vanuatu",3107.20312858002,69.952,15.1,89.7930993872856,NA,70,22.2501822422475,4.58828115,10.1102406419734,4.776,32.3,"East Asia & Pacific","Lower middle income",2021
"Venezuela, RB",2004.93397949792,71.536,21.2,97.1837183128414,74.11219788,100,89.1766444746891,4.1022191,NA,7.027,NA,"Latin America & Caribbean","Low income",2021
"Viet Nam",3704.1935590038,74.145,13.3,95.75,74.20999985,100,36.6540656426603,4.53792429,2.94517488804327,2.383,36.8,"East Asia & Pacific","Lower middle income",2021
"Virgin Islands (U.S.)",42571.0777368471,80.0682926829268,NA,NA,64.3774942980087,100,95.1604310610968,NA,NA,13.508,NA,"Latin America & Caribbean","High income",2021
"West Bank and Gaza",3678.63565662194,73.89,12.8,97.6840000894857,76.18160248,100,86.334956387337,10.4347353,5.43442010879517,26.39,33.7,"Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",2021
"Yemen, Rep.",633.887202451545,66.019,36.9,NA,17.49099922,74.9,36.0704951256305,9.44125366,NA,18.312,NA,"Middle East, North Africa, Afghanistan & Pakistan","Low income",2021
"Zambia",1127.16077872857,62.363,35.6,79.9494621864846,14.82190037,46.7,44.2353731410926,6.63951397,3.11363465307753,5.197,NA,"Sub-Saharan Africa","Lower middle income",2021
"Zimbabwe",2613.60542083552,60.135,59.8,93.2300033569336,32.5923996,49,37.8692058859373,2.67111874,NA,9.54,50.3,"Sub-Saharan Africa","Lower middle income",2021
